ache,eik,n. a dull persistent (usually moderately intense) pain\nv. have a desire for something or someone who is not present\nv. be the source of pain,"n. 疼痛\nvi. 痛, 哀怜, 渴望",2,p:ached/i:aching/d:ached/3:aches,the ache in her head worsened
achieve,ә'tʃi:v,v. to gain with effort,"vt. 完成, 达到\nvi. 如愿以偿",4,d:achieved/i:achieving/p:achieved/3:achieves,he achieved his ambition to become a press photographer
across,ә'krɒs,r. to the opposite side\nr. transversely,"prep. 越过, 穿过, 与...相交叉, 在...的对面\nadv. 交叉, 到另一边, 在对面, 成十字",5,,I ran across the street
act,ækt,n. a legal document codifying the result of deliberations of a committee or society or legislative body\nn. something that people do or cause to happen\nn. a subdivision of a play or opera or ballet\nn. a short theatrical performance that is part of a longer program,"n. 行动, 行为, 幕, 法案\nvi. 行动, 表演, 假装, 见效, 表现, 担当\nvt. 扮演, 装作\n[计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术",5,i:acting/s:acts/p:acted/d:acted/3:acts,they urged Washington to act
action,'ækʃәn,n. something done (usually as opposed to something said)\nn. the state of being active\nn. the series of events that form a plot\nn. the trait of being active and energetic and forceful,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼\nvt. 对...起诉\n[计] 方式",5,s:actions/i:actioning/p:actioned/3:actions/f:actions,ending child labour will require action on many levels
active,'æktiv,n. a person who is a participating member of an organization\na. tending to become more severe or wider in scope\ns. engaged in or ready for military or naval operations\na. disposed to take action or effectuate change,"a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的\nn. 主动语态, 积极分子",4,s:actives,although he was seventy he was still robust and active
activity,æk'tiviti,n. any specific behavior\nn. (chemistry) the capacity of a substance to take part in a chemical reaction,"n. 活动, 行动, 活跃, 活力\n[计] 活动",4,s:activities,there has been a sustained level of activity in the economy
add,æd,"v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of\nv. state or say further\nv. make an addition by combining numbers\nv. constitute an addition","vt. 增加, 添加, 附带说明, 计算...总和\nvi. 做加法, 积累而成, 增添\n[计] 加法",5,p:added/d:added/i:adding/3:adds,"I've started a petition so if you would like to add your name, email me"
address,ә'dres,n. (computer science) the code that identifies where a piece of information is stored\nn. the place where a person or organization can be found or communicated with\nn. the act of delivering a formal spoken communication to an audience\nn. the manner of speaking to another individual,"n. 住址, 演说, 举止, 灵巧, 求爱\nvt. 发表(演说或讲话), 对付, 写地址\n[计] 地址, 寻址",4,d:addressed/i:addressing/s:addresses/p:addressed/3:addresses,they exchanged addresses and agreed to keep in touch
advantage,әd'vɑ:ntidʒ,n. the quality of having a superior or more favorable position\nn. (tennis) first point scored after deuce\nn. benefit resulting from some event or action\nv. give an advantage to,"n. 优点, 便利, 好处, 优势\nvt. 有助于",4,s:advantages/d:advantaged/i:advantaging/p:advantaged/3:advantages,companies with a computerized database are at an advantage
advertisement,.ædvә'taizmәnt,n a public promotion of some product or service,"n. 广告, 启事, 广告宣传\n[法] 广告, 公告, 告示",2,s:advertisements,advertisements for alcoholic drinks
advice,әd'vais,n. a proposal for an appropriate course of action,"n. 忠告, 劝告, 意见, 报道, 通知\n[经] 通知书, 通知, 建议",4,,my advice is to see your doctor
advise,әd'vaiz,v. inform (somebody) of something,"vt. 劝告, 给...出主意, 通知, 建议\nvi. 提意见, 商量",3,d:advised/p:advised/i:advising/3:advises,I advised him to go home
afford,ә'fɒ:d,v. be able to spare or give up\nv. have the financial means to do something or buy something\nv. afford access to,"vt. 买得起, 足以, 给予",3,d:afforded/3:affords/p:afforded/i:affording,the best that I could afford was a first-floor room
afraid,ә'freid,a. filled with fear or apprehension\ns. filled with regret or concern; used often to soften an unpleasant statement\ns. feeling worry or concern or insecurity\ns. having feelings of aversion or unwillingness,"a. 害怕的, 恐怕的, 遗憾的",3,,I'm afraid of dogs
after,'ɑ:ftә,s. located farther aft\nr. behind or in the rear,"prep. 在...之后, 由于\nconj. 在...之后\nadv. 后来",5,,shortly after their marriage they moved to Colorado
afternoon,'ɑ:ftә'nu:n,n. the part of the day between noon and evening,"n. 午后, 下午",4,s:afternoons,
again,ә'gein,r. anew,"adv. 再一次, 又, 到原处",5,,it was great to meet old friends again
against,ә'geinst,"prep. Abreast; opposite to; facing; towards; as, against the\n   mouth of a river; -- in this sense often preceded by over.\nprep. From an opposite direction so as to strike or come in\n   contact with; in contact with; upon; as, hail beats against the roof.\nprep. In opposition to, whether the opposition is of\n   sentiment or of action; on the other side; counter to; in contrariety\n   to; hence, adverse to; as, against reason; against law; to run a race\n   against time.\nprep. By of before the time that; in preparation for; so as\n   to be ready for the time when.","prep. 反对, 对着, 倚靠",5,,the fight against crime
age,eidʒ,n. how long something has existed\nn. a time of life (usually defined in years) at which some particular qualification or power arises\nv. begin to seem older; get older\nv. make older,"n. 年龄, 老年, 成年, 寿命, 时代, 时期\nv. 变老, 成熟",5,s:ages/d:aged/i:ageing/3:ages/p:aged,he died from a heart attack at the age of 51
ago,ә'gәu,s. gone by; or in the past\nr. in the past,adv. 以前,5,,he went five minutes ago
agree,ә'gri:,"v. be in accord; be in agreement\nv. consent or assent to a condition, or agree to do something\nv. show grammatical agreement\nv. be agreeable or suitable","vi. 同意, 赞成, 应允, 适合\nvt. 承认, 认定, 同意",5,d:agreed/p:agreed/3:agrees/i:agreeing,I completely agree with your recent editorial
agreement,ә'gri:mәnt,n. the statement (oral or written) of an exchange of promises\nn. compatibility of observations\nn. harmony of people's opinions or actions or characters\nn. the thing arranged or agreed to,"n. 同意, 合约, 协议\n[经] 契约, 协议, 协定",4,s:agreements,the two officers nodded in agreement
air,єә,n. a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of\nn. the region above the ground\nn. a distinctive but intangible quality surrounding a person or thing\nn. once thought to be one of four elements composing the universe (Empedocles),"n. 空气, 旋律, 态度\nvt. 晾, 使通风, 夸耀",5,d:aired/s:airs/i:airing/p:aired/3:airs,
airline,'єәlain,n. a hose that carries air under pressure\nn. a commercial enterprise that provides scheduled flights for passengers,"n. 航线, 航线的设备, 航空公司",4,s:airlines,
airplane,'єәplein,n. an aircraft that has a fixed wing and is powered by propellers or jets,n. 飞机\n[机] 飞机,2,s:airplanes,
airport,'єәpɒ:t,n. an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo,"n. 飞机场\n[机] 航空站, 机场",4,s:airports,
alive,ә'laiv,a. possessing life\ns. (often followed by `with') full of life and spirit\ns. (followed by `to' or `of') aware of\ns. capable of erupting,"a. 活着的, 活泼的, 敏感的, 热闹的",3,,hopes of finding anyone still alive were fading
all,ɒ:l,a. quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class\ns. completely given to or absorbed by,"a. 所有的, 全部的, 一切的\nadv. 全部, 全然\npron. 全部\nn. 全部",5,,all the people I met
allow,ә'lau,v. let have\nv. give or assign a resource to a particular person or cause\nv. allow or plan for a certain possibility; concede the truth or validity of something\nv. grant as a discount or in exchange,"vt. 允许, 同意给予, 承认\nvi. 容许, 猜想\n[计] 允许命令",5,d:allowed/i:allowing/3:allows/p:allowed,the dissident was allowed to leave the country
almost,'ɒ:lmәust,r (of actions or states) slightly short of or not quite accomplished; all but,"adv. 几乎, 差不多",5,,he almost knocked Georgina over
alone,ә'lәun,s. isolated from others\ns. lacking companions or companionship\ns. exclusive of anyone or anything else\ns. radically distinctive and without equal,"a. 孤独的, 单独的, 独自的\nadv. 独自地",4,,she was alone that evening
along,ә'lɒŋ,r. with a forward motion\nr. in accompaniment or as a companion\nr. to a more advanced state\nr. in addition (usually followed by `with'),"adv. 平行地, 向前\nprep. 沿着",5,,soon we were driving along a narrow road
aloud,ә'laud,r. using the voice; not silently,"adv. 出声地, 大声地",1,,he read the letter aloud
already,ɒ:l'redi,r. prior to a specified or implied time,"adv. 已经, 早已",5,,Anna has suffered a great deal already
also,'ɒ:lsәu,r in addition,"adv. 也, 并且, 同样地",5,,"a brilliant linguist, he was also interested in botany"
although,ɒ:l'ðou,conj. Grant all this; be it that; supposing that;\n   notwithstanding; though.,"conj. 虽然, 尽管",5,,although the sun was shining it wasn't that warm
always,'ɒ:lweiz,r. at all times; all the time and on every occasion\nr. at any time or in any event\nr. forever; throughout all time,"adv. 总是, 始终",5,,the sun always rises in the east
America,ә'merikә,n. North America and South America and Central America,"n. 美洲, 美国",,,
American,ә'merikәn,n. a native or inhabitant of the United States\nn. a native or inhabitant of a North American or Central American or South American country\na. of or relating to the United States of America or its people or language or culture,"n. 美国人\na. 美国的, 美洲的",,s:americans,
among,ә'mʌŋ,prep. Alt. of Amongst,prep. 在...之中,5,,flowers hidden among the roots of the trees
ancient,'einʃәnt,n. a very old person\nn. a person who lived in ancient times\ns. belonging to times long past especially of the historical period before the fall of the Western Roman Empire\ns. very old,"a. 古代的, 古老的, 年老的, 旧的",3,s:ancients,the ancient civilizations of the Mediterranean
and,ænd,"conj. A particle which expresses the relation of connection or\n   addition. It is used to conjoin a word with a word, a clause with a\n   clause, or a sentence with a sentence.\nconj. In order to; -- used instead of the infinitival to,\n   especially after try, come, go.\nconj. It is sometimes, in old songs, a mere expletive.\nconj. If; though. See An, conj.","conj. 和, 与\n[计] 与",5,,bread and butter
angry,'æŋgri,a. feeling or showing anger\ns. (of the elements) as if showing violent anger\ns. severely inflamed and painful,"a. 生气的, 愤怒的",3,r:angrier,an angry customer
animal,'ænimәl,n. a living organism characterized by voluntary movement\ns. marked by the appetites and passions of the body,n. 动物\n[医] 动物,4,s:animals,wild animals adapt badly to a caged life
another,ә'nʌðә,s. any of various alternatives; some other,"a. 另外的, 再一的, 不同的\npron. 又一个, 另一个, 类似的另一个",5,,have another drink
answer,'ɑ:nsә,n. a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation\nn. the speech act of replying to a question\nn. the principal pleading by the defendant in response to plaintiff's complaint; in criminal law it consists of the defendant's plea of `guilty' or `not guilty' (or nolo contendere); in civil law it must contain denials of all allegations in the plaintiff's complaint that the defendant hopes to controvert and it can contain affirmative defenses or counterclaims\nn. a nonverbal reaction,"n. 答案, 回答, 回报, 答辩\nvt. 回答, 反驳, 适应, 响应, 符合\nvi. 回答, 答应, 负责, 符合, 成功\n[计] 用户问题及答案新闻组",5,s:answers/p:answered/d:answered/i:answering/3:answers,he knocked and entered without waiting for an answer
ant,ænt,n. social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,n. 蚂蚁,1,s:ants/p:anted/i:anting,
any,'eni,s. one or some or every or all without specification\nr. to any degree or extent,a. 任何的\npron. 任何,5,,I don't have any choice
anybody,'enibɒdi,n. Any one out of an indefinite number of persons; anyone;\n   any person.\nn. A person of consideration or standing.,pron. 任何人\nn. 重要人物,3,,
anyone,'eniwʌn,n. One taken at random rather than by selection; anybody.\n   [Commonly written as two words.],pron. 任何人,4,,
anything,'eniθiŋ,"n. Any object, act, state, event, or fact whatever; thing of\n   any kind; something or other; aught; as, I would not do it for\n   anything.\nn. Expressing an indefinite comparison; -- with as or like.\nadv. In any measure; anywise; at all.",pron. 任何事,5,,
anyway,'eniwei,"r used to indicate that a statement explains or supports a previous statement; anyhow, they're quiet""; anyway, it's gone""; in any case, there was a brief scuffle""\nr in any way whatsoever","adv. 无论如何, 至少",4,s:anyways,
anywhere,'enihwєә,r. at or in or to any place; (`anyplace' is used informally for `anywhere'),adv. 无论何处,3,,
appear,ә'piә,"v. come into sight or view\nv. be issued or published\nv. seem to be true, probable, or apparent\nv. come into being or existence, or appear on the scene","vi. 出现, 显得, 来到\n[法] 出庭, 到案, 出现",5,p:appeared/3:appears/i:appearing/d:appeared,smoke appeared on the horizon
apple,'æpl,n. fruit with red or yellow or green skin and sweet to tart crisp whitish flesh\nn. native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits,"n. 苹果, 家伙\n[医] 苹果",3,s:apples,
April,'eiprәl,n. the month following March and preceding May,n. 四月,4,,the prison was to close in April
area,'єәriә,n. a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)\nn. a subject of study\nn. a part of an animal that has a special function or is supplied by a given artery or nerve\nn. a part of a structure having some specific characteristic or function,"n. 区域, 面积, 范围, 空地\n[计] 区域",5,s:areas,rural areas of Britain
arm,ɑ:m,n. a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb\nn. any projection that is thought to resemble a human arm\nn. the part of an armchair or sofa that supports the elbow and forearm of a seated person\nv. prepare oneself for a military confrontation,"n. 手臂, 袖子, 狭长港湾, 武器\nvt. 武装, 装备\nvi. 武装起来\n[计] 异步应答方式; 自动货品销路管理",5,s:arms/d:armed/i:arming/p:armed/3:arms,she held the baby in her arms
army,'ɑ:mi,n. a permanent organization of the military land forces of a nation or state\nn. a large number of people united for some specific purpose,"n. 军队, 陆军",5,s:armies,the two armies were in position
around,ә'raund,r. by a circular or circuitous route\nr. in a circle or circular motion\nr. to a particular destination either specified or understood\nr. in circumference,"prep. 包围, 在...周围, 四处\nadv. 兜着圈子, 在附近, 到处",5,,the mountains towering all around
arrive,ә'raiv,v. reach a destination; arrive by movement or progress\nv. succeed in a big way; get to the top,"vi. 到达, 抵达",4,p:arrived/d:arrived/i:arriving/3:arrives,we arrived at his house and knocked at the door
art,ɑ:t,n. the products of human creativity; works of art collectively\nn. the creation of beautiful or significant things\nn. a superior skill that you can learn by study and practice and observation,"n. 艺术, 人文科学, 技术, 巧妙, 诡计, 美术\n[计] 实际保持时间, 特许权和资源表, 平均检索时间, 平均运行时间",5,s:arts,the art of the Renaissance
article,'ɑ:tikl,n. nonfictional prose forming an independent part of a publication\nn. one of a class of artifacts\nn. a separate section of a legal document (as a statute or contract or will)\nn. (grammar) a determiner that may indicate the specificity of reference of a noun phrase,"n. 文章, 冠词, 物品, 物件, 条款, 契约\n[计] 信件",4,s:articles/d:articled/i:articling/p:articled/3:articles,small household articles
as,æz,n a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar\nn a United States territory on the eastern part of the island of Samoa\nn a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation\nn any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes\nn one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)\nn (biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA\nn the basic unit of electric current adopted under the Systeme International d'Unites\nn the 1st letter of the Roman alphabet\nn the blood group whose red cells carry the A antigen\nr to the same degree (often followed by `as'),"adv. 同样地, 例如\nprep. 做为, 当作\nconj. 当...之时, 以...的方式, 像...一样, 因为\n[计] 高级系统, 先进系统, 辅助存储器, 自治系统",5,,go as fast as you can
Asia,'eiʒә,n. the largest continent with 60% of the earth's population; it is joined to Europe on the west to form Eurasia; it is the site of some of the world's earliest civilizations\nn. the nations of the Asian continent collectively,n. 亚洲,,,
Asian,'eiʃәn,n. a native or inhabitant of Asia\na. of or relating to or characteristic of Asia or the peoples of Asia or their languages or culture,"n. 亚洲人\na. 亚洲的, 亚洲人的",,s:asians,
ask,ɑ:sk,v. inquire about\nv. make a request or demand for something to somebody\nv. direct or put; seek an answer to\nv. consider obligatory; request and expect,"vi. 问, 要求\nvt. 问, 要求, 邀请, 需要",5,p:asked/d:asked/i:asking/3:asks,I asked her what she meant
asleep,ә'sli:p,a. in a state of sleep\ns. lacking sensation\ns. dead\nr. into a sleeping state,"a. 睡着的, 长眠的, 麻木的\nadv. 熟睡地",2,,she had been asleep for over three hours
at,æt,n. 100 at equal 1 kip in Laos,"prep. 在, 向, 对\n[计] 地址转换器, 异常传输, 自动订票",5,,they live at Conway House
Atlantic,әt'læntik,n. the 2nd largest ocean; separates North and South America on the west from Europe and Africa on the east\na. relating to or bordering the Atlantic Ocean,n. 大西洋\na. 大西洋的,,,the Atlantic coast of Europe
attention,ә'tenʃәn,n. the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others\nn. a general interest that leads people to want to know more\nn. a courteous act indicating affection\nn. the faculty or power of mental concentration,"n. 注意, 注意力\n[计] 引起注意信号",4,s:attentions,he drew attention to three spelling mistakes
august,ɒ:'gʌst. 'ɒ:gәst,n. the month following July and preceding September\ns. of or befitting a lord\ns. profoundly honored,"n. 八月\na. 威严的, 令人敬畏的",4,,she was in august company
aunt,ɑ:nt,n. the sister of your father or mother; the wife of your uncle,"n. 阿姨, 姨妈, 舅妈, 姑妈, 伯母",4,s:aunts,
Australia,ɒ'streiljә,"n. a nation occupying the whole of the Australian continent; Aboriginal tribes are thought to have migrated from southeastern Asia 20,000 years ago; first Europeans were British convicts sent there as a penal colony\nn. the smallest continent; between the South Pacific and the Indian Ocean","n. 澳洲, 澳大利亚",,,
Australian,ɒ'streiljәn,n. a native or inhabitant of Australia\nn. the Austronesian languages spoken by Australian aborigines\na. of or relating to or characteristic of Australia or its inhabitants or its languages,"n. 澳大利亚人\na. 澳大利亚的, 澳洲的, 澳洲人的",,s:australians,
autumn,'ɒ:tәm,n the season when the leaves fall from the trees,"n. 秋天, 成熟期",3,,
available,ә'veilәbl,a. obtainable or accessible and ready for use or service\ns. not busy; not otherwise committed\ns. convenient for use or disposal,"a. 可利用的, 可获得的, 有效的\n[医] 有效的, 可得的",5,,refreshments will be available all afternoon
avoid,ә'vɒid,v. stay clear from; keep away from; keep out of the way of someone or something\nv. refrain from doing something,"vt. 避免, 防止, 撤消\n[法] 避免, 回避, 躲开",4,d:avoided/i:avoiding/p:avoided/3:avoids,avoid excessive exposure to the sun
awake,ә'weik,a. not in a state of sleep; completely conscious,"a. 醒着的\nvt. 唤醒, 唤起, 使意识到\nvi. 醒来, 被唤起, 意识到",2,p:awoke/d:awoken/3:awakes/i:awaking,she awoke to find the streets covered in snow
away,ә'wei,s. not present; having left\na. used of an opponent's ground\ns. (of a baseball pitch) on the far side of home plate from the batter\nr. from a particular thing or place or position (`forth' is obsolete),adv. 离去,5,,"she landed badly, and crawled away"
baby,'beibi,n. a very young child (birth to 1 year) who has not yet begun to walk or talk\nn. the youngest member of a group (not necessarily young)\nn. an unborn child; a human fetus\nn. (slang) sometimes used as a term of address for attractive young women,n. 婴孩\n[医] 婴儿,4,s:babies/i:babying/p:babied/3:babies/d:babied,his wife's just had a baby
back,bæk,n. the posterior part of a human (or animal) body from the neck to the end of the spine\nn. the part of something that is furthest from the normal viewer\nn. (football) a person who plays in the backfield\nn. the part of a garment that covers the back of your body,"a. 后面的\nvt. 使后退, 支持\nvi. 倒退, 背靠\nadv. 向后地\nn. 背部, 后面",5,d:backed/s:backs/p:backed/i:backing/3:backs,he lay on his back
background,'bækgraund,n. a person's social heritage: previous experience or training\nn. the part of a scene (or picture) that lies behind objects in the foreground\nn. information that is essential to understanding a situation or problem\nn. extraneous signals that can be confused with the phenomenon to be observed or measured,"n. 背景, 背景资料\n[计] 背景, 后台",3,s:backgrounds/f:backgrounds,the house stands against a background of sheltering trees
bad,bæd,n. that which is below standard or expectations as of ethics or decency\na. having undesirable or negative qualities\ns. very intense\ns. feeling physical discomfort or pain (`tough' is occasionally used colloquially for `bad'),a. 坏的\nn. 坏\nadv. 坏地,5,r:worse/t:worst,a bad diet
bag,bæg,n. a flexible container with a single opening\nn. the quantity of game taken in a particular period (usually by one person)\nn. a container used for carrying money and small personal items or accessories (especially by women)\nn. the quantity that a bag will hold,"n. 袋子, 袋状物\nvt. 使膨大, 装袋, 猎获",4,s:bags/p:bagged/d:bagged/i:bagging/3:bags,he arrived at the children's ward carrying a bag full of toys for the young patients
ball,bɒ:l,n. round object that is hit or thrown or kicked in games\nn. an object with a spherical shape\nn. the people assembled at a lavish formal dance\nn. a spherical object used as a plaything,"n. 球, 舞会, 球状物\nv. 捏成球形",4,s:balls/p:balled/i:balling/3:balls/d:balled,a cricket ball
balloon,bә'lu:n,n. large tough nonrigid bag filled with gas or heated air\nn. small thin inflatable rubber bag with narrow neck\nv. ride in a hot-air balloon\nv. become inflated,"n. 气球\nvt. 使成气球状\nvi. 膨胀如气球, 激增",2,s:balloons/p:ballooned/i:ballooning/d:ballooned/3:balloons,the room was festooned with balloons and streamers
bamboo,bæm'bu:,n. the hard woody stems of bamboo plants; used in construction and crafts and fishing poles\nn. woody tropical grass having hollow woody stems; mature canes used for construction and furniture,n. 竹子\n[医] 竹类,1,s:bamboos,
banana,bә'nɑ:nә,n. any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits\nn. elongated crescent-shaped yellow fruit with soft sweet flesh,n. 香蕉,2,s:bananas,
bank,bæŋk,n. sloping land (especially the slope beside a body of water)\nn. a long ridge or pile\nn. an arrangement of similar objects in a row or in tiers\nn. a supply or stock held in reserve for future use (especially in emergencies),"n. 银行, 堤, 岸\n[医] 库",1,s:banks/i:banking/d:banked/p:banked/3:banks/f:banks,willows lined the bank of the stream
baseball,'beisbɒ:l,n. a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs\nn. a ball used in playing baseball,n. 棒球\n[计] 棒球系统,3,,a game of baseball
basic,'beisik,n. a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use\nn. (usually plural) a necessary commodity for which demand is constant\na. pertaining to or constituting a base or basis\ns. reduced to the simplest and most significant form possible without loss of generality,"n. 基本原理, 要素, 基本规律\na. 基本的, 碱性的\n(计算机)BASIC语言",4,s:basics,certain basic rules must be obeyed
basket,'bɑ:skit,n. a container that is usually woven and has handles\nn. the quantity contained in a basket\nn. horizontal circular metal hoop supporting a net through which players try to throw the basketball\nn. a score in basketball made by throwing the ball through the hoop,"n. 篮, 篮子\nvt. 装入篮",2,s:baskets,a shopping basket
basketball,'bɑ:skitbɒ:l,n. a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop\nn. an inflated ball used in playing basketball,n. 篮球,2,s:basketballs,
bathroom,'bɑ:θru:m,n. a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet,"n. 浴室, 厕所",3,s:bathrooms,
be,bi:,"v. have the quality of being; (copula, used with an adjective or a predicate noun)\nv. be identical to; be someone or something\nv. occupy a certain position or area; be somewhere\nv. happen, occur, take place; this was during the visit to my parents' house""","v. 是, 表示, 在\n[计] 后端, 总线允许",5,p:was/3:is/d:been/i:being,there are no easy answers
beach,bi:tʃ,n. an area of sand sloping down to the water of a sea or lake\nv. land on a beach,n. 海滩,3,s:beaches/p:beached/d:beached/i:beaching/3:beaches,fabulous sandy beaches
beat,bi:t,n. a regular route for a sentry or policeman\nn. a single pulsation of an oscillation produced by adding two waves of different frequencies; has a frequency equal to the difference between the two oscillations\nn. the sound of stroke or blow\nn. a regular rate of repetition,"n. 心跳(声), 打, 敲打声, 拍子\nv. 打, 拍打, 打败\na. 疲乏的, 颓废的\nbeat的过去式\n[计] 拍; 节拍",5,p:beat/0:beat/1:pd/d:beaten/i:beating/3:beats/s:beats,if we were caught we were beaten
beautiful,'bju:tiful,a. delighting the senses or exciting intellectual or emotional admiration\ns. (of weather) highly enjoyable,a. 美丽的,4,,beautiful poetry
because,bi'kɒ:z,conj. By or for the cause that; on this account that; for the\n   reason that.\nconj. In order that; that.,conj. 因为,5,,we did it because we felt it our duty
become,bi'kʌm,v. enter or assume a certain state or condition\nv. undergo a change or development\nv. come into existence\nv. enhance the appearance of,"vi. 变成, 变得\nvt. 适合",5,p:became/d:become/0:become/1:d/3:becomes/i:becoming,she became angry and sulked all day
bed,bed,n. a piece of furniture that provides a place to sleep\nn. a plot of ground in which plants are growing\nn. a depression forming the ground under a body of water\nn. (geology) a stratum of rock (especially sedimentary rock),"n. 床, 睡眠处, 河床, 底座, 路基, 一层\nvt. 提供宿处, 栽种, 安装\nvi. 睡, 形成坚实的一层",4,s:beds/d:bedded/i:bedding/p:bedded/3:beds,a large double bed
bedroom,'bedrum,n. a room used primarily for sleeping,n. 卧室,3,s:bedrooms,
bee,bi:,n. any of numerous hairy-bodied insects including social and solitary species\nn. a social gathering to carry out some communal task or to hold competitions,"n. 蜜蜂, 聚会",2,s:bees,
beef,bi:f,n. cattle that are reared for their meat\nn. meat from an adult domestic bovine,"n. 牛肉, 肌肉\nvt. 养(牛), 宰(牛)\nvi. 抱怨, 告发",2,d:beefed/i:beefing/p:beefed/s:beefs/3:beefs,there was the smell of roast beef
before,bi'fɒ:,r earlier in time; previously\nr at or in the front,prep. 在...之前\nconj. 在...之前\nadv. 在前,5,,my playing days had ended six years before
begin,bi'gin,"n. Israeli statesman (born in Russia) who (as prime minister of Israel) negotiated a peace treaty with Anwar Sadat (then the president of Egypt) (1913-1992)\nv. have a beginning, in a temporal, spatial, or evaluative sense\nv. set in motion, cause to start\nv. begin to speak or say",v. 开始\n[计] 开始,5,p:began/i:beginning/d:begun/3:begins,Peter had just begun a life sentence for murder
behaviour,bi'heivjә,n the action or reaction of something (as a machine or substance) under specified circumstances\nn (behavioral attributes) the way a person behaves toward other people\nn (psychology) the aggregate of the responses or reactions or movements made by an organism in any situation\nn manner of acting or controlling yourself,"n. 行为, 举止\n[计] 特性, 性能, 特点, 行为, 动作, 状态",4,s:behaviours,he will vouch for her good behaviour
